event_time,coef,se,ci_lower,ci_upper,pvalue
-24,3.591314565409208,inf,,,
-23,0.7759001899787191,inf,,,
-22,0.33445492978384017,inf,,,
-21,2.3416943669282397,inf,,,
-20,2.95570638846114,inf,,,
-19,-1.1840703908275678,inf,,,
-18,-1.8187565136649546,inf,,,
-17,-4.2089243630664095,inf,,,
-16,-1.2404600333146938,inf,,,
-15,1.9580098342130607,inf,,,
-14,0.9355470765401606,inf,,,
-13,-4.789433920476008,inf,,,
-12,-0.9237557666782941,inf,,,
-11,0.0739927760034219,inf,,,
-10,-2.6803998705750214,inf,,,
-9,-4.370847472674926,inf,,,
-8,-2.713479119813309,inf,,,
-7,-3.363797881092097,inf,,,
-6,0.4622812480003109,inf,,,
-5,-3.85191983125242,inf,,,
-4,2.9175388772050574,inf,,,
-3,-0.10323282196344749,inf,,,
-2,-0.3398472373113819,inf,,,
-1,0.0,0.0,0.0,0.0,
0,-34.90764892990828,inf,,,
1,-37.034714246804896,inf,,,
2,-35.18887963947969,inf,,,
3,-39.057310544574825,inf,,,
4,-35.679532605150364,inf,,,
5,-35.34811401293187,inf,,,
6,-36.76191218071054,inf,,,
7,-39.561124026622934,inf,,,
8,-33.519359748158315,inf,,,
9,-32.668575469020766,inf,,,
10,-36.775577775048205,inf,,,
11,-39.50311600132885,inf,,,
